GSP.ID,GSP.NAME
13,North Central Delta-Mendota
14,Farmers
58,East Kaweah
100,North American
12,Chowchilla
21,Madera Subbasin Joint
22,Central Kings
25,North Fork Kings
26,South Kings
28,McMullin Area
61,Gravelly Ford
65,Pixley
86,Vina
106,Cosumnes
111,South American
8,Westside
30,Greater Kaweah
49,New Stone
50,Mid-Kaweah
52,South Yuba
117,Solano
122,Tracy
7,Aliso
9,Merced
23,Kings River East
24,North Kings
37,Henry Miller
38,Grassland
42,Tulare Lake
43,East Tule
44,Olcese
45,Root Creek
51,Buena Vista
54,Kern River
63,Delano-Earlimart
92,Colusa
94,Corning
98,Butte
99,Wyandotte Creek
110,Turlock
123,White Wolf
134,Antelope
139,Los Molinos
15,San Joaquin River Exchange Contractors
20,Fresno County
31,James
36,Kern Groundwater Authority
47,Eastern San Joaquin
48,Alpaugh
53,North Yuba
56,Lower Tule River
57,Tri-County
82,Enterprise
83,Anderson
85,Modesto
96,Yolo
112,Sutter
120,East Contra Costa
137,Bowman
140,Red Bluff